Name,Persian Name,Address,Phone Number,Is Open,Price_Class,Rate
shokofeh_farahzad,شکوفه (فرحزاد),یادگار شمال به جنوب، ۱۰۰ متر پایین تر از خیابان فرحزاد,02122068034,10-24,2,6.8
nonvaghahve,نون و قهوه,اقدسیه، اتوبان ارتش، پاساژ پرنیان ، طبقه 2،پلاک 308,02122494657,10-22,2,6.0
dake_shahrakgolestan,دکه (شهرک گلستان),شهرک گلستان، 35 متری گلها، نبش یاس دوم,02144711333,11-24,2,5.3
mahestan-kan,مهستان (کن),بلوار کوهسار، بنفشه ۴،جنب شهرک الهیه,02144339863,12-24,2,6.7
piansa,قهوه خیابان ایتالیا (پیانسا),‎خیابان ایتالیا،پلاک‌۳۸,02188975084,8-23,2,6.8
khanefamouri,خانه فاموری,خيابان جمهوری، قبل از پل حافظ كوچه‌ی گشتاسب، شماره شش,02166701428,10-24,2,7.8
fresco,فرسکو,نیاوران، خیابان عمار، ساختمان نیاوران,02126853108,8-24,2,5.3
mandela_jordan,ماندلا (جردن),جردن، نبش فرزان شرقی، پلاک 79,02188798418,11:30-23:30,3,7.6
platform934,سکوی نه وسه چهارم,خیابان فلسطین جنوبی، خیابان ژاندارمری، پلاک 1,02166415365,8-24,2,6.8
roshanan,عمارت روشنان,بلوار اندرزگو، خیابان سلیمی شمالی، خیابان نوری,02122206715,9-22:30,2,7.8
cafetehraan,طهران قدیم,شیخ بهایی جنوبی، شهرک والفجر، رو به رو خیابان 9/3، پلاک 1، برج ارغوان,02188619635,10-24,2,null
pelak5_tehransar,پلاک 5,تهرانسر، میدان کمال الملک، داخل پارک نرگس,02144586004,7:30-23:15,2,6.6
do_zardeh,دو زرده,خیابان انقلاب، فلسطین جنوبی، جنب بانک تجارت، پلاک ۲۷۷,02166468566,6:30-18:30,2,6.7
lamiz_farmaniyeh,لمیز(فرمانیه),فرمانیه،نرسیده به چهار پاسداران، بام برند سنتر,02126125853,7-23,2,7.3
sheys,شیث,ميدان ونك ، خيابان ملاصدرا ، خيابان شيراز شمالي ، ميدان شيراز شمالي ، ساختمان ايران سكنا ، پلاك 236,02188046678,11-23,2,3.8
honar_tajrobe,هنرو تجربه,خیابان شریعتی،روبروی مترو قلهک،ساختمان آ،س،پ قلهک،طبقه همکف,02126601517,8-22:30,2,6.1
balkon,بالکن,سعادت آباد ، خيابان بخشايش ، خیابان هفدهم ، برج عرفان ، طبقه همكف,02122387208,10:30-24,2,6.9
hanna-boutiquehotel,بوتیک هتل حنا,خیابان حافظ ، خیابان نوفل لوشاتو ، کوچه لولاگر، پلاک 2,02166757601,7:30-22,3,8.0
rock_somayeh,راک (سمیه),خیابان مفتح جنوبی ، خیابان سمیه ، نبش کوچه مژدهی ،پلاک ۱۲۱/۱,02188343127,8-24,2,7.9
macklly-nirohavaee,مک لی (نیروی هوایی),خیابان پبروزی ، فلکه دوم نیروهوایی ، پلاک ۱۸,021,10-24,1,6.8
rouhi_tajrish,روحی (تجریش),خیابان شهرداری،سینما آستارا,02122708893,9-22:30,2,8.6
cafechimney-vozara,چیمنی (وزرا),خیابان عباس آباد(بهشتی) ، ابتدای خیابان وزرا(خالد اسلامبولی)، روبروی سینما ازادی،پلاک 12,02188704580,7-24,1,6.8
rolinja,رولینجا,اتوبان همت غرب ، اتوبان خرازی ، خروجی دریاچه خلیج فارس ، میدان موج ، مجتمع بام لند ، بلوک C  ، طیقه دوم,02140447204,12-24,2,6.4
samiya,سامیا,انتهای حقانی پلاک 24,02188746363,7-24,2,5.3
poshtboom_keshavarz,پشت بوم (بلوار کشاورز),بلوار کشاورز - جنب بیمارستان پارس - مجتمع تجاری  سامان,02188990319,9-22,2,6.7
nivan,نیوان,بلوار میرداماد، پاساژ رز، طبقه دوم,9191251920,9-23,2,null
sepidar,سپیدار,شهرك غرب، بلوار فرحزادي، بالاتر از ميدان كتاب، روبروي آسمان هشتم غربي، خيابان سپيدار، پلاك ١,02122093549,7-24,2,6.7
salatin,سلاطین,فرمانيه ، خيابان لواساني ، روبروي خيابان اقايي ،جنب موسسه كوثر,02122210900,11-24,2,null
local2,لوکال,ولنجک ، میدان دانشگاه ، بلوار دانشگاه ، به سمت توچال بعد از باغ گیلاس,02122180511,12-24,2,8.2
ec1838b1-5d95-4ad6-bc79-767fbba060fd,دیدار,بزرگراه خرازی بازار ایران مال ط2,09109101078,9-23,2,4.1
hiro,هیرو,سعادت آباد، میدان بهرود، بلوار شقایق، رو به روی پارک ژوراسیک,02122082070,11:30-24,2,null
